# time (s)	h_+ (strain)	h_x (strain)
-2.000000000	-1.755067346438330004e-21	-3.058617161377720487e-21
-1.999938965	-2.264437887221512182e-21	-2.063076400672292932e-21
-1.999877930	-1.681239904792504850e-21	-3.110446236576212328e-21
-1.999816895	-2.180384858453145441e-21	-2.131185627205945638e-21
-1.999755859	-1.605444694504496180e-21	-3.160148586700853538e-21
-1.999694824	-2.094712582838078764e-21	-2.196555297154102507e-21
-1.999633789	-1.527764285943790675e-21	-3.207655523144476253e-21
-1.999572754	-2.007489060483809605e-21	-2.259146787911877245e-21
-1.999511719	-1.448282348521015160e-21	-3.252901618009250465e-21
-1.999450684	-1.918784353704032320e-21	-2.318922888958740759e-21
-1.999389648	-1.367083620619540417e-21	-3.295824675637565020e-21
-1.999328613	-1.828670476296314777e-21	-2.375847921439169851e-21
-1.999267578	-1.284253874110503330e-21	-3.336365709048168668e-21
-1.999206543	-1.737221285238911507e-21	-2.429887848611095088e-21
-1.999145508	-1.199879874172884270e-21	-3.374468920754961064e-21
-1.999084473	-1.644512374114121885e-21	-2.481010378101982101e-21
-1.999023438	-1.114049334588362318e-21	-3.410081686827856613e-21
-1.998962402	-1.550620968401262862e-21	-2.529185056287100321e-21
-1.998901367	-1.026850869202897321e-21	-3.443154543918011105e-21
-1.998840332	-1.455625822168075979e-21	-2.574383355603856840e-21
-1.998779297	-9.383739396588780091e-22	-3.473641178611785785e-21
-1.998718262	-1.359607115870883229e-21	-2.616578755052211192e-21
-1.998657227	-8.487087998892462324e-22	-3.501498418427956983e-21
-1.998596191	-1.262646355278596757e-21	-2.655746814393981501e-21
-1.998535156	-7.579464376489812120e-22	-3.526686224107622714e-21
-1.998474121	-1.164826271403400115e-21	-2.691865242484915647e-21
-1.998413086	-6.661785131934178913e-22	-3.549167682916808376e-21
-1.998352051	-1.066230721174688006e-21	-2.724913959837435398e-21
-1.998291016	-5.734972955808930804e-22	-3.568909002497393741e-21
-1.998229980	-9.669445887866797780e-22	-2.754875155871045856e-21
-1.998168945	-4.799955967417070818e-22	-3.585879504885650756e-21
-1.998107910	-8.670536877529379735e-22	-2.781733341083881059e-21
-1.998046875	-3.857667035286520513e-22	-3.600051620503082573e-21
-1.997985840	-7.666446635855968672e-22	-2.805475394426894260e-21
-1.997924805	-2.909043077635621053e-22	-3.611400881902754481e-21
-1.997863770	-6.658048969926104875e-22	-2.826090605720361483e-21
-1.997802734	-1.955024350010857510e-22	-3.619905916997894998e-21
-1.997741699	-5.646224075629199414e-22	-2.843570713950658413e-21
-1.997680664	-9.965537148153347245e-23	-3.625548441513248057e-21
-1.997619629	-4.631857580094829002e-22	-2.857909940943501663e-21
-1.997558594	-3.457589991485307781e-24	-3.628313250554573475e-21
-1.997497559	-3.615839589380353152e-22	-2.869105020955240209e-21
-1.997436523	9.299632545281271181e-23	-3.628188209176698452e-21
-1.997375488	-2.599063740356125749e-22	-2.877155226178131461e-21
-1.997314453	1.896117558505790597e-22	-3.625164241649966938e-21
-1.997253418	-1.582426258689554994e-22	-2.882062388407263033e-21
-1.997192383	2.862941244477244082e-22	-3.619235319467898169e-21
-1.997131348	-5.668250217165867345e-23	-2.883830916696389124e-21
-1.997070312	3.829489744883316811e-22	-3.610398447887085730e-21
-1.997009277	4.468413729985028743e-23	-2.882467811406120183e-21
-1.996948242	4.794820475478120893e-22	-3.598653650923725563e-21
-1.996887207	1.457674533116711946e-22	-2.877982674719152087e-21
-1.996826172	5.757993625025403868e-22	-3.584003954744045552e-21
-1.996765137	2.464777191169703930e-22	-2.870387717346418903e-21
-1.996704102	6.718072945257188862e-22	-3.566455369293595544e-21
-1.996643066	3.467254117085818079e-22	-2.859697762040413417e-21
-1.996582031	7.674126544997870184e-22	-3.546016868194207025e-21
-1.996520996	4.464213024070342678e-22	-2.845930243567304779e-21
-1.996459961	8.625227684217184941e-22	-3.522700366757814612e-21
