# time (s)	h_+ (strain)	h_x (strain)
-2.000000000	2.861246777750119525e-22	-3.774368044609912547e-21
-1.999938965	-2.125993187884320930e-22	-2.747617215966292250e-21
-1.999877930	3.807687613308690172e-22	-3.763618354160760220e-21
-1.999816895	-1.086862994121985810e-22	-2.752838449932100178e-21
-1.999755859	4.754627091443599731e-22	-3.750138113891648866e-21
-1.999694824	-5.080893767636849864e-24	-2.754745616525634821e-21
-1.999633789	5.701064868098541434e-22	-3.733917395619142048e-21
-1.999572754	9.813233192449003079e-23	-2.753359112201863254e-21
-1.999511719	6.646007606285905179e-22	-3.714950035412735007e-21
-1.999450684	2.008685564703014562e-22	-2.748701221435376691e-21
-1.999389648	7.588469420719663597e-22	-3.693233549885971492e-21
-1.999328613	3.030428279373252850e-22	-2.740796181040372666e-21
-1.999267578	8.527472360781102559e-22	-3.668769057172184320e-21
-1.999206543	4.045701838919097103e-22	-2.729670234909320056e-21
-1.999145508	9.462046923454511789e-22	-3.641561201893337200e-21
-1.999084473	5.053657682520886019e-22	-2.715351680144182764e-21
-1.999023438	1.039123259282389444e-21	-3.611618082960804358e-21
-1.998962402	6.053449444141440495e-22	-2.697870905255406017e-21
-1.998901367	1.131407840339121076e-21	-3.578951184266843859e-21
-1.998840332	7.044234054810686468e-22	-2.677260420804709880e-21
-1.998779297	1.222964352132324649e-21	-3.543575307256658775e-21
-1.998718262	8.025172814190566664e-22	-2.653554883187300500e-21
-1.998657227	1.313699784114071557e-21	-3.505508505187814474e-21
-1.998596191	8.995432434967774131e-22	-2.626791112050615486e-21
-1.998535156	1.403522259624158082e-21	-3.464772018497205550e-21
-1.998474121	9.954186059177696871e-22	-2.597008101550340218e-21
-1.998413086	1.492341097807110047e-21	-3.421390211227230823e-21
-1.998352051	1.090061425135789052e-21	-2.564247026052282180e-21
-1.998291016	1.580066876342325628e-21	-3.375390507763758326e-21
-1.998229980	1.183390596467327591e-21	-2.528551240469764554e-21
-1.998168945	1.666611494669771971e-21	-3.326803330085872334e-21
-1.998107910	1.275325948472295319e-21	-2.489966275569327704e-21
-1.998046875	1.751888237482912113e-21	-3.275662035013737334e-21
-1.997985840	1.365788335029219014e-21	-2.448539828563147455e-21
-1.997924805	1.835811838344340730e-21	-3.222002851220346002e-21
-1.997863770	1.454699724955301664e-21	-2.404321749179582014e-21
-1.997802734	1.918298543165789270e-21	-3.165864816157313520e-21
-1.997741699	1.541983289609250097e-21	-2.357364021537403417e-21
-1.997680664	1.999266173490783458e-21	-3.107289712309215232e-21
-1.997619629	1.627563488065920237e-21	-2.307720741926511531e-21
-1.997558594	2.078634189317280389e-21	-3.046322003070687287e-21
-1.997497559	1.711366150289815062e-21	-2.255448092793287123e-21
-1.997436523	2.156323751435411395e-21	-2.983008767726803007e-21
-1.997375488	1.793318557900774426e-21	-2.200604312923889889e-21
-1.997314453	2.232257782838268791e-21	-2.917399635862576546e-21
-1.997253418	1.873349522945040910e-21	-2.143249664435070312e-21
-1.997192383	2.306361029635802712e-21	-2.849546720731237344e-21
-1.997131348	1.951389464302169949e-21	-2.083446396098479594e-21
-1.997070312	2.378560120709151485e-21	-2.779504551844158803e-21
-1.997009277	2.027370481989504538e-21	-2.021258703721356666e-21
-1.996948242	2.448783626432025954e-21	-2.707330006531076488e-21
-1.996887207	2.101226429222350243e-21	-1.956752687446866296e-21
-1.996826172	2.516962116235762461e-21	-2.633082240498275057e-21
-1.996765137	2.172892982237401499e-21	-1.889996306077470103e-21
-1.996704102	2.583028214769045061e-21	-2.556822617350429294e-21
-1.996643066	2.242307707839670566e-21	-1.821059328768571134e-21
-1.996582031	2.646916656796096972e-21	-2.478614637124802678e-21
-1.996520996	2.309410128789485308e-21	-1.750013283992285158e-21
-1.996459961	2.708564340560339956e-21	-2.398523863608337972e-21
-1.996398926	2.374141786704607005e-21	-1.676931406018458046e-21
-1.996337891	2.767910379611948519e-21	-2.316617850814622572e-21
-1.996276855	2.436446302895482293e-21	-1.601888578951354563e-21
-1.996215820	2.824896152898552344e-21	-2.232966068138289165e-21
-1.996154785	2.496269436592757735e-21	-1.524961278636175344e-21
-1.996093750	2.879465353347587250e-21	-2.147639824723737791e-21
-1.996032715	2.553559141045704426e-21	-1.446227512141592436e-21
-1.995971680	2.931564034399726028e-21	-2.060712192621488002e-21
-1.995910645	2.608265617118586880e-21	-1.365766755407947901e-21
-1.995849609	2.981140654872866547e-21	-1.972257928989438299e-21
-1.995788574	2.660341364480264227e-21	-1.283659888785417116e-21
-1.995727539	3.028146121792245313e-21	-1.882353397341270216e-21
